data;contaminados;obitos;1%;2%
12/03/2020;4;0;0;0
13/03/2020;4;0;0;0
14/03/2020;1;0;0;0
15/03/2020;3;0;0;0
16/03/2020;7;0;0;0
18/03/2020;12;0;0;0
19/03/2020;10;0;0;0
20/03/2020;12;0;0;0
21/03/2020;3;0;0;0
22/03/2020;4;0;0;0
23/03/2020;8;0;0;0
24/03/2020;8;0;0;0
25/03/2020;6;0;0;0
26/03/2020;6;0;0;0
27/03/2020;9;0;0;0
28/03/2020;7;1;0;0
29/03/2020;7;1;0;0
30/03/2020;14;0;0;0
31/03/2020;16;2;0;0
01/04/2020;22;2;0;0
02/04/2020;21;3;0;0
03/04/2020;17;1;0;0
04/04/2020;24;2;0;0
05/04/2020;5;2;0;0
07/04/2020;36;2;0;0
08/04/2020;41;0;0;0
09/04/2020;21;0;0;0
10/04/2020;9;1;0;0
12/04/2020;3;0;0;0
13/04/2020;10;0;0;0
14/04/2020;10;0;0;0
15/04/2020;11;1;0;0
16/04/2020;17;1;0;0
17/04/2020;23;1;0;0
18/04/2020;7;1;0;0
19/04/2020;6;1;0;0
20/04/2020;20;0;0;0
21/04/2020;5;2;0;0
22/04/2020;25;1;0;0
23/04/2020;20;0;0;0
25/04/2020;7;0;0;0
26/04/2020;4;2;0;0
27/04/2020;17;0;0;0
28/04/2020;29;2;0;0
01/05/2020;8;0;0;0
02/05/2020;12;1;0;0
03/05/2020;5;0;0;0
04/05/2020;20;1;0;0
05/05/2020;20;0;0;0
06/05/2020;19;0;0;0
07/05/2020;21;4;0;0
08/05/2020;22;0;0;0
09/05/2020;18;1;0;0
10/05/2020;9;1;0;0
12/05/2020;25;0;0;0
14/05/2020;18;2;0;0
15/05/2020;13;1;0;0
16/05/2020;18;0;0;0
17/05/2020;9;1;0;0
19/05/2020;23;2;0;0
20/05/2020;20;3;0;0
22/05/2020;40;3;0;0
23/05/2020;16;1;0;0
24/05/2020;3;0;0;0
25/05/2020;34;1;0;0
26/05/2020;25;1;0;0
27/05/2020;25;0;0;0
28/05/2020;38;2;0;0
29/05/2020;47;3;0;0
31/05/2020;8;3;0;0
01/06/2020;55;4;0;0
02/06/2020;67;6;0;0
03/06/2020;49;2;0;0
04/06/2020;59;4;0;0
06/06/2020;45;5;0;0
07/06/2020;20;5;0;0
08/06/2020;65;3;0;0
09/06/2020;55;6;0;0
10/06/2020;51;1;0;0
11/06/2020;72;7;0;0
12/06/2020;179;13;0;0
14/06/2020;23;4;0;0
15/06/2020;101;6;0;0
16/06/2020;481;9;0;0
17/06/2020;83;4;0;0
18/06/2020;116;6;0;0
20/06/2020;36;3;0;0
21/06/2020;15;1;0;0
23/06/2020;267;9;0;0
24/06/2020;379;19;0;0
25/06/2020;202;10;0;0
26/06/2020;210;11;0;0
27/06/2020;39;5;0;0
29/06/2020;635;8;0;0
30/06/2020;373;11;0;0
01/07/2020;444;14;0;0
02/07/2020;442;11;0;0
03/07/2020;374;21;0;0
04/07/2020;47;5;0;0
05/07/2020;44;13;0;0
06/07/2020;1134;27;0;0
07/07/2020;417;17;0;0
09/07/2020;528;18;0;0
11/07/2020;34;8;0;0
12/07/2020;38;8;0;0
14/07/2020;366;17;0;0
15/07/2020;753;20;0;0
16/07/2020;725;19;0;0
17/07/2020;632;22;0;0
18/07/2020;35;12;0;0
19/07/2020;32;5;0;0
20/07/2020;1096;33;0;0
21/07/2020;325;19;0;0
22/07/2020;735;21;0;0
23/07/2020;731;20;0;0
24/07/2020;533;12;0;0
25/07/2020;61;16;0;0
27/07/2020;654;14;0;0
28/07/2020;435;25;0;0
29/07/2020;360;14;0;0
31/07/2020;1464;21;0;0
01/08/2020;31;10;0;0
02/08/2020;44;13;0;0
04/08/2020;477;20;0;0
06/08/2020;546;12;0;0
07/08/2020;352;16;0;0
08/08/2020;43;5;0;0
09/08/2020;29;12;0;0
10/08/2020;970;15;0;0
11/08/2020;476;12;0;0
12/08/2020;644;20;0;0
13/08/2020;409;15;0;0
15/08/2020;19;4;0;0
16/08/2020;17;3;0;0
17/08/2020;868;18;0;0
21/08/2020;327;8;0;0
22/08/2020;583;17;0;0
23/08/2020;13;1;0;0
24/08/2020;227;7;0;0
25/08/2020;181;11;0;0
28/08/2020;510;15;0;0
30/08/2020;28;7;0;0
31/08/2020;968;18;0;0
01/09/2020;234;8;0;0
02/09/2020;624;7;0;0
03/09/2020;833;23;0;0
04/09/2020;176;6;0;0
05/09/2020;29;4;0;0
06/09/2020;690;12;0;0
07/09/2020;134;3;0;0
10/09/2020;534;4;0;0
12/09/2020;557;5;0;0
14/09/2020;457;6;0;0
15/09/2020;545;7;0;0
17/09/2020;505;7;0;0
18/09/2020;299;7;0;0
19/09/2020;397;6;0;0
20/09/2020;148;8;0;0
21/09/2020;418;7;0;0
22/09/2020;191;3;0;0
23/09/2020;394;16;0;0
24/09/2020;496;7;0;0
25/09/2020;325;4;0;0
26/09/2020;471;6;0;0
27/09/2020;8;1;0;0
28/09/2020;280;9;0;0
29/09/2020;254;4;0;0
30/09/2020;311;6;0;0
01/10/2020;417;5;0;0
02/10/2020;305;5;0;0
04/10/2020;19;6;0;0
05/10/2020;427;4;0;0
06/10/2020;283;9;0;0
08/10/2020;328;11;0;0
09/10/2020;347;5;0;0
10/10/2020;367;9;0;0
12/10/2020;166;1;0;0
14/10/2020;171;10;0;0
15/10/2020;422;6;0;0
16/10/2020;326;8;0;0
17/10/2020;374;4;0;0
18/10/2020;8;1;0;0
19/10/2020;250;5;0;0
20/10/2020;274;3;0;0
22/10/2020;430;3;0;0
23/10/2020;316;7;0;0
24/10/2020;442;5;0;0
25/10/2020;13;2;0;0
26/10/2020;135;1;0;0
27/10/2020;354;4;0;0
29/10/2020;333;6;0;0
30/10/2020;419;4;0;0
31/10/2020;410;11;0;0
01/11/2020;24;6;0;0
02/11/2020;552;6;0;0
04/11/2020;296;9;0;0
06/11/2020;397;11;0;0
08/11/2020;19;3;0;0
09/11/2020;515;15;0;0
10/11/2020;412;15;0;0
12/11/2020;705;14;0;0
14/11/2020;41;9;0;0
15/11/2020;26;9;0;0
16/11/2020;2163;23;0;0
17/11/2020;893;13;0;0
19/11/2020;1470;19;0;0
21/11/2020;525;9;0;0
22/11/2020;989;14;0;0
23/11/2020;1574;15;0;0
24/11/2020;838;17;0;0
25/11/2020;1526;24;0;0
